CMDLINE C:\Users\xener\AppData\Local\Programs\Python\Python38\python.exe init.py
MEM 0.609375 1591523246.8841
MEM 20.011719 1591523246.9841
MEM 23.347656 1591523247.0841
MEM 24.894531 1591523247.1841
MEM 34.562500 1591523247.2841
MEM 38.859375 1591523247.3842
MEM 41.468750 1591523247.4842
MEM 41.468750 1591523247.5842
MEM 41.980469 1591523247.6842
MEM 50.390625 1591523247.7843
MEM 50.867188 1591523247.8843
MEM 50.867188 1591523247.9843
MEM 52.269531 1591523248.0843
MEM 52.878906 1591523248.1843
MEM 52.878906 1591523248.2844
MEM 55.875000 1591523248.3844
MEM 56.179688 1591523248.4844
MEM 56.179688 1591523248.5844
MEM 56.191406 1591523248.6845
MEM 56.191406 1591523248.7845
MEM 56.066406 1591523248.8845
MEM 57.109375 1591523248.9845
MEM 65.535156 1591523249.0845
MEM 68.636719 1591523249.1846
MEM 70.050781 1591523249.2846
MEM 70.660156 1591523249.3846
MEM 70.781250 1591523249.4846
MEM 70.296875 1591523249.5847
MEM 57.710938 1591523249.6847
MEM 58.625000 1591523249.7847
MEM 65.781250 1591523249.8847
MEM 66.964844 1591523249.9848
MEM 72.171875 1591523250.0848
MEM 70.191406 1591523250.1848
MEM 70.742188 1591523250.2848
MEM 72.070312 1591523250.3848
MEM 80.046875 1591523250.4849
MEM 83.347656 1591523250.5849
MEM 85.160156 1591523250.6849
MEM 85.289062 1591523250.7849
MEM 85.355469 1591523250.8850
MEM 85.355469 1591523250.9850
MEM 73.695312 1591523251.0850
MEM 74.277344 1591523251.1850
MEM 74.292969 1591523251.2850
MEM 74.800781 1591523251.3851
MEM 74.800781 1591523251.4851
MEM 74.800781 1591523251.5851
MEM 74.820312 1591523251.6851
MEM 74.820312 1591523251.7852
MEM 74.859375 1591523251.8852
MEM 76.531250 1591523251.9852
MEM 76.531250 1591523252.0852
MEM 76.531250 1591523252.1852
MEM 76.531250 1591523252.2853
MEM 76.531250 1591523252.3853
MEM 76.531250 1591523252.4853
MEM 76.531250 1591523252.5853
MEM 76.531250 1591523252.6854
MEM 76.531250 1591523252.7854
MEM 76.531250 1591523252.8854
MEM 76.531250 1591523252.9854
MEM 76.531250 1591523253.0854
MEM 76.531250 1591523253.1855
MEM 76.531250 1591523253.2855
MEM 76.531250 1591523253.3855
MEM 76.531250 1591523253.4855
MEM 76.531250 1591523253.5856
MEM 76.531250 1591523253.6856
MEM 76.531250 1591523253.7856
