CMDLINE C:\Users\xener\AppData\Local\Programs\Python\Python38\python.exe init.py
MEM 78.527344 1591522701.6540
MEM 78.527344 1591522701.7540
MEM 78.527344 1591522701.8540
MEM 78.527344 1591522701.9541
MEM 78.527344 1591522702.0541
MEM 78.527344 1591522702.1541
MEM 78.527344 1591522702.2541
MEM 78.527344 1591522702.3542
MEM 78.527344 1591522702.4542
MEM 78.527344 1591522702.5542
MEM 78.527344 1591522702.6542
MEM 78.527344 1591522702.7542
MEM 78.527344 1591522702.8543
MEM 78.527344 1591522702.9543
MEM 78.527344 1591522703.0543
MEM 78.527344 1591522703.1543
MEM 78.527344 1591522703.2543
MEM 78.527344 1591522703.3544
MEM 78.527344 1591522703.4544
MEM 78.527344 1591522703.5544
MEM 78.527344 1591522703.6544
MEM 78.527344 1591522703.7545
MEM 78.527344 1591522703.8545
MEM 78.527344 1591522703.9545
MEM 78.527344 1591522704.0545
MEM 78.527344 1591522704.1546
MEM 78.527344 1591522704.2546
MEM 78.527344 1591522704.3546
MEM 78.527344 1591522704.4546
MEM 78.527344 1591522704.5546
MEM 78.527344 1591522704.6547
MEM 78.527344 1591522704.7547
MEM 78.527344 1591522704.8547
MEM 78.527344 1591522704.9547
MEM 78.527344 1591522705.0548
MEM 78.527344 1591522705.1548
MEM 78.527344 1591522705.2548
MEM 78.527344 1591522705.3548
MEM 78.527344 1591522705.4548
MEM 78.527344 1591522705.5549
MEM 78.527344 1591522705.6549
MEM 78.527344 1591522705.7549
MEM 78.527344 1591522705.8549
MEM 78.527344 1591522705.9550
MEM 78.527344 1591522706.0550
MEM 78.527344 1591522706.1550
MEM 78.527344 1591522706.2550
MEM 78.527344 1591522706.3550
MEM 78.527344 1591522706.4551
MEM 78.527344 1591522706.5551
MEM 78.527344 1591522706.6551
MEM 78.527344 1591522706.7551
MEM 78.527344 1591522706.8552
MEM 78.527344 1591522706.9552
MEM 78.527344 1591522707.0552
MEM 78.527344 1591522707.1552
MEM 78.527344 1591522707.2552
MEM 78.527344 1591522707.3553
MEM 78.527344 1591522707.4553
MEM 78.527344 1591522707.5553
MEM 78.527344 1591522707.6554
MEM 78.527344 1591522707.7562
MEM 78.554688 1591522707.8562
MEM 78.554688 1591522707.9563
MEM 78.554688 1591522708.0568
MEM 78.554688 1591522708.1573
MEM 78.554688 1591522708.2573
MEM 78.554688 1591522708.3573
MEM 78.554688 1591522708.4575
MEM 78.554688 1591522708.5584
MEM 78.554688 1591522708.6584
MEM 78.554688 1591522708.7584
MEM 78.554688 1591522708.8585
MEM 78.554688 1591522708.9585
MEM 78.554688 1591522709.0585
MEM 78.554688 1591522709.1585
MEM 78.554688 1591522709.2585
MEM 78.554688 1591522709.3586
MEM 78.554688 1591522709.4586
MEM 78.554688 1591522709.5586
MEM 78.554688 1591522709.6586
MEM 78.554688 1591522709.7587
MEM 78.554688 1591522709.8587
MEM 78.554688 1591522709.9587
MEM 78.554688 1591522710.0587
MEM 78.554688 1591522710.1587
MEM 78.554688 1591522710.2588
MEM 78.554688 1591522710.3588
MEM 78.554688 1591522710.4588
MEM 78.554688 1591522710.5588
MEM 78.554688 1591522710.6589
MEM 78.554688 1591522710.7589
MEM 78.554688 1591522710.8589
MEM 78.554688 1591522710.9589
MEM 78.554688 1591522711.0589
MEM 78.554688 1591522711.1590
